cluster_id,count,percentage,top_keywords
0,233,4.7%,"password, locked, hacked, login, log, account locked, account hacked, security"
1,671,13.4%,"shipping, day shipping, day delivery, tomorrow, shipped, arrive, delivered today, 8pm"
2,495,9.9%,"shipping, amazon prime, 115821 prime, membership, prime membership, day shipping, day delivery, paying prime"
3,598,12.0%,"kindle, sale, offer, deals, pre, shoes, deal, sell"
4,506,10.1%,"love, packages, 118706, 115821 package, shipping, disappointed, packaging, 115833"
5,490,9.8%,"customer care, replacement, defective, pathetic service, worst service, courier, broken, terrible"
6,505,10.1%,"alexa, echo, 115833, music, tv, echo dot, dot, watch"
7,405,8.1%,"cashback, cancel, refunded, payment, cash, cancel order, bank, returned"
8,635,12.7%,"parcel, packages, door, packaging, driver, leaving, courier, parcels"
9,462,9.2%,"amazon pay, amazon prime, amazon account, balance, bank, pay balance, bank account, cancel"
